GLOBAL UNIQUE IDENTIFIER,COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,LOCALITY ID,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER NAME,OBSERVATION TYPE,DURATION MINUTES,NUMBER OBSERVERS,ALL SPECIES REPORTED,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS138655202,American Goldfinch,Spinus tristis,3,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278895,American Robin,Turdus migratorius,50,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655218,American Robin,Turdus migratorius,80,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655219,Black-crested Titmouse,Baeolophus atricristatus,6,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278902,Black-crested Titmouse,Baeolophus atricristatus,5,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655201,Black Vulture,Coragyps atratus,1,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278892,Black Vulture,Coragyps atratus,2,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655215,Blue Jay,Cyanocitta cristata,3,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278917,Blue Jay,Cyanocitta cristata,1,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278911,Barred Owl,Strix varia,2,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278900,Carolina Chickadee,Poecile carolinensis,6,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655212,Carolina Chickadee,Poecile carolinensis,3,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655207,Carolina Wren,Thryothorus ludovicianus,5,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278910,Carolina Wren,Thryothorus ludovicianus,2,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278889,Double-crested Cormorant,Nannopterum auritum,1,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278906,Eastern Phoebe,Sayornis phoebe,1,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655220,Eastern Phoebe,Sayornis phoebe,2,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278914,Eurasian Collared-Dove,Streptopelia decaocto,2,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655209,European Starling,Sturnus vulgaris,20,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278916,European Starling,Sturnus vulgaris,30,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278890,Field Sparrow,Spizella pusilla,3,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655227,Field Sparrow,Spizella pusilla,4,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278886,Golden-fronted Woodpecker,Melanerpes aurifrons,2,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655217,Golden-fronted Woodpecker,Melanerpes aurifrons,3,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278885,Great-tailed Grackle,Quiscalus mexicanus,15,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655224,Great-tailed Grackle,Quiscalus mexicanus,5,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278888,Hermit Thrush,Catharus guttatus,1,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655226,Hermit Thrush,Catharus guttatus,2,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655206,House Finch,Haemorhous mexicanus,2,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278899,House Finch,Haemorhous mexicanus,4,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655222,House Sparrow,Passer domesticus,15,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278891,House Sparrow,Passer domesticus,12,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278901,Inca Dove,Columbina inca,6,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278897,Ladder-backed Woodpecker,Dryobates scalaris,1,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655200,Ladder-backed Woodpecker,Dryobates scalaris,1,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655225,Lesser Goldfinch,Spinus psaltria,4,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278904,Lesser Goldfinch,Spinus psaltria,2,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655216,Mallard,Anas platyrhynchos,3,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278896,Mallard,Anas platyrhynchos,2,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278887,Mourning Dove,Zenaida macroura,7,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278909,Northern Cardinal,Cardinalis cardinalis,10,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655213,Northern Cardinal,Cardinalis cardinalis,16,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278907,Northern Mockingbird,Mimus polyglottos,8,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138655211,Northern Mockingbird,Mimus polyglottos,8,L1210588,2012-02-06,10:00:00 AM,obsr219721,,Traveling,180,1,1,
