OBSERVATIONDATETIME	LOCATION	WEDGE	CATEGORY	COMMONNAME	SCIENTIFICNAME	STATUS	NOTES
3/29/2024	Garden	4	Plant	Blue mistflower	Conoclinium coelestinum	New growth	
3/29/2024	Garden	5	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
3/29/2024	Garden	5	Plant	Autumn sage	Salvia greggii	Blooming	
3/29/2024	Garden	5	Plant	Apache plume	Fallugia paradoxa	New growth	
3/29/2024	Garden	6	Plant	Frogfruit	Phyla nodiflora	New growth	
3/29/2024	Garden	6	Plant	Lindheimer muhly	Muhlenbergia lindheimeri	New growth	
3/29/2024	Garden	6	Plant	American beautyberry	Callicarpa americana	New growth.1 slower	
3/29/2024	Garden	7	Plant	Snakeherb	Dyschoriste linearis	Fully green	
3/29/2024	Garden	7	Plant	Pink guara	Oenothera lindheimeri	1 bloom	
3/29/2024	Garden	7	Plant	White mistflower	Ageratina havanensis	Fully green	
3/29/2024	Garden	8	Plant	Gregg dalea	Dalea greggii	Blooming	
3/29/2024	Garden	8	Plant	Zexmenia	Wedelia texana	1 bloom	
3/29/2024	Garden	8	Plant	Red yucca	Hesperaloe parviflora	4 new stocks	
3/29/2024	Garden	9	Plant	Mountain pea	Sophora secundiflora	Fully green	
3/29/2024	Garden	9	Plant	Butterfly weed	Asclepias tuberosa	New growth	
3/29/2024	Garden	9	Plant	Gulf muhly	Muhlenbergia capillaris	New growth	
3/29/2024	Garden	10	Plant	Silver ponyfoot	Dichondra argentea	New growth	
3/29/2024	Garden	10	Plant	Dwarf Barbados Cherry	Malpighia emarginata	New growth	
3/29/2024	Garden	10	Plant	Buttonbush	Cephalanthus occidentalis	New growth	
3/29/2024	Garden	11	Plant	Frogfruit	Phyla nodiflora	New growth	
3/29/2024	Garden	11	Plant	Texas lantana	Lantana urticoides	1 bloom	
3/29/2024	Garden	11	Plant	Globe mallow	Sphaeralcea ambigua	Blooming	
3/29/2024	Garden	12	Plant	Lyreleaf sage	Salvia lyrata	Multiple rosettes	
3/29/2024	Garden	12	Plant	Engelmann daisy	Engelmannia peristenia	Blooming	
3/29/2024	Garden	12	Plant	Obedient plant	Physostegia virginiana	New growth	
3/29/2024	Garden	13	Plant	Horseherb	Calyptocarpus vialis	Blooming	
3/29/2024	Garden	13	Plant	Gayfeather	Liatris mucronata	New growth	
3/29/2024	Garden	13	Plant	Skeleton leaf goldeneye	Viguiera stenoloba	Fully green	
3/29/2024	Garden	14	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
3/29/2024	Garden	14	Plant	Chocolate daisy	Berlandiera lyrata	Blooming	
3/29/2024	Garden	14	Plant	Flame acanthus	Anisacanthus quadrifidus var. wrightii	Fully green	
3/29/2024	Garden	15	Plant	Snakeherb	Dyschoriste linearis	Fully green	
3/29/2024	Garden	15	Plant	Rock rose	Pavonia lasiopetala	Fully green	
3/29/2024	Garden	15	Plant	Rock rose	Pavonia lasiopetala	Fully green	
3/29/2024	Garden	16	Plant	Silver ponyfoot	Dichondra argentea	New growth	
3/29/2024	Garden	16	Plant	Black dalea	Dalea frutescens	Fully green	
3/29/2024	Garden	16	Plant	Fall aster	Symphyotrichum oblongifolium	Fully green	
7/7/2023	Sanctuary		Pollinator	Pipevine Swallowtail	Battus philenor	Present	
4/18/2025	Sanctuary		Pollinator	Pipevine Swallowtail	Battus philenor	Present	
9/26/2025	Sanctuary		Pollinator	Pipevine Swallowtail	Battus philenor	Present	
11/3/2023	Sanctuary		Plant	Possumhaw berries	Ilex decidua	In bloom	
4/18/2025	Sanctuary		Plant	Prairie verbena	Glandularia bipinnatifida	In bloom	
7/25/2025	Sanctuary		Pollinator	Great purple hairstreak	Atlides halesus	Present	
